insert into phenome.locus (population_id, locus_name, locus_symbol, locus_synonym, original_symbol) values ((select population_id from phenome.population where phenome.population.population_name like 'tgrc'), 'anthocyaninless', 'a', '{a1,a}', 'a');										
locus_id	population_id	locus_name	locus_symbol	locus_synonym	original_symbol	gene_activity	gi_list	pubmed_list	unigene_id	notes
	ncbi	lysyl-tRNA synthetase	LysRS			tRNA synthetase	1147584	9118995		
n	tgrc	macra	maa		maa					
	tgrc	macrocalyx	mc		mc	APETALA1-like MADS box	32478032|20219013	11951045|14573491		
	tgrc	macrocarpa	ma		ma					
	tgrc	macrosepala	mcs		mcs					
	tgrc	maculata	mac	mac1	mac					
	tgrc	maculonecrotic	mcn		mcn					
n	tgrc	maculosa	mal		mal					
n	tgrc	malate concentration	mlt		mlt					
	tgrc	Malate dehydrogenase-1	mdh1	Mdh-1	Mdh-1	Malate dehydrogenase				
n	tgrc	Malate dehydrogenase-2	Mdh2		Mdh-2	Malate dehydrogenase				
n	tgrc	Malate dehydrogenase-3	Mdh3		Mdh-3	Malate dehydrogenase				
	tgrc	Malate dehydrogenase-4	mdh4	Mdh-4	Mdh-4	Malate dehydrogenase				
n	tgrc	male sterile	ms		ms					
n	tgrc	male sterile-19	ms19		ms-19					
n	tgrc	male sterile-20	ms20		ms-20					
n	tgrc	male sterile-21	ms21		ms-21					
n	tgrc	male sterile-22	ms22		ms-22					
n	tgrc	male sterile-36	ms36		ms-36					
n	tgrc	male sterile-37	ms37		ms-37					
n	tgrc	male sterile-41	ms41		ms-41					
n	tgrc	male sterile-43	ms43		ms-43					
n	tgrc	male sterile-50	ms50		ms-50					
	tgrc	male-sterile-10	ms10	ms-10,ms10	ms-10					
	tgrc	male-sterile-11	ms11	ms-11,ms11	ms-11					
	tgrc	male-sterile-12	ms12	ms-12,ms12	ms-12					
	tgrc	male-sterile-13	ms13	ms-13,ms13	ms-13					
	tgrc	male-sterile-14	ms14	ms-14,ms14	ms-14					
	tgrc	male-sterile-15	ms15	ms-15,ms15	ms-15					
	tgrc	male-sterile-16	ms16	ms-16,ms16	ms-16					
	tgrc	male-sterile-17	ms17	ms-17,ms17	ms-17					
	tgrc	male-sterile-18	ms18	ms-18,ms18	ms-18					
n	tgrc	male-sterile-2	ms02		ms-02					
	tgrc	male-sterile-23	ms23	ms-23,ms23	ms-23					
	tgrc	male-sterile-24	ms24	ms-24,ms24	ms-24					
	tgrc	male-sterile-25	ms25	ms-25,ms25	ms-25					
	tgrc	male-sterile-27	ms27	ms-27,ms27	ms-27					
	tgrc	male-sterile-28	ms28	ms-28,ms28	ms-28					
	tgrc	male-sterile-29	ms29	ms-29,ms29	ms-29					
n	tgrc	male-sterile-3	ms03		ms-03					
	tgrc	male-sterile-30	ms30	ms-30,ms30	ms-30					
	tgrc	male-sterile-31	ms31	ms-31,ms31	ms-31					
	tgrc	male-sterile-32	ms32	ms-32,ms32	ms-32					
	tgrc	male-sterile-33	ms33	ms-33,ms33	ms-33					
	tgrc	male-sterile-34	ms34	ms-34,ms34	ms-34					
	tgrc	male-sterile-38	ms38	ms-38,ms38	ms-38					
	tgrc	male-sterile-39	ms39	ms-39	ms-39					
n	tgrc	male-sterile-4	ms04		ms-04					
	tgrc	male-sterile-44	ms44	ms-44	ms-44					
	tgrc	male-sterile-45	ms45	ms-45	ms-45					
	tgrc	male-sterile-46	ms46	ms-46	ms-46					
	tgrc	Male-sterile-48	ms48	Ms-48	ms-48					
	tgrc	male-sterile-49	ms49	ms-49	ms-49					
n	tgrc	male-sterile-5	ms05		ms-05					
n	tgrc	Male-sterile-51	Ms51		Ms-51					
n	tgrc	male-sterile-6	ms06		ms-06					
n	tgrc	male-sterile-7	ms07		ms-07					
n	tgrc	male-sterile-8	ms08		ms-08					
n	tgrc	male-sterile-9	ms09		ms-09					
n	tgrc	Malic enzyme-1	Mae1		Mae-1					
	ncbi	mannan endo-1,4-beta-mannosidase	Man4				22382039|15529112|21307618	12427992		
	ncbi	MAP kinase phosphatase	MKP1			MAP kinase phosphatase	13540265	11274055		
	ncbi	MAPKK (LeMKK1)	MKK1	mek1			51471925|9843770	15371431		
	ncbi	MAPKK (LeMKK2)	MKK2				51471927	15371431		
	ncbi	MAPKK (LeMKK3)	MKK3				51471929	15371431		
	ncbi	MAPKK (LeMKK4)	MKK4				51471931	15371431		
	tgrc	marcescens	mar		mar					
	tgrc	marcida	mad	mad1	mad					
	tgrc	marginal necrotic	mgn		mgn					
	tgrc	marmorata	marm		marm					
n	tgrc	marmorata-2	marm2		marm-2					
n	tgrc	matura	mat		mat					
	tgrc	mediocris	med	med1	med					
	ncbi	meiotic serine proteinase	TMP				6468324	1155090		
	tgrc	Meloidogyne incognita resistance-3	mi3	Mi-3	Mi-3					
n	tgrc	Meloidogyne incognita-4	Mi4		Mi-4					
	tgrc	melongenoida	mel	mel1	mel					
n	tgrc	mendosa	men		men					
	ncbi	metacaspase 1	MCA1				23343884|47105029	12783227		
	ncbi	metallocarboxypeptidase inhibitor	mcpi				19278	1715974		
n	tgrc	methyl salicylate concentration	mes		mes					
	ncbi	MFP1 attachment factor 1	MAF1				7546724	10488241		
	tgrc	microcarpa	mic	mic1	mic					
	tgrc	midget	mt		mt					
n	tgrc	miniature	mnt		mnt					
n	tgrc	miniature phosphorus syndrome	mps		mps					
n	tgrc	minuscula	mia		mia					
	tgrc	minuta	mn	mi	mn					
n	tgrc	minuta-2	mn2		mn-2					
n	tgrc	minutula	min		min					
	ncbi	mitochondrial malate dehydrogenase	mMDH			malate dehydrogenase	52139815	15665243		
	ncbi	mitochondrial small heat shock protein	MTSHP				3492853	10682350		
	ncbi	mitogen-activated protein kinase 1	MPK1	mpka1;1		protein kinase	30962144|30171838|47105457	12913131		
	ncbi	mitogen-activated protein kinase 2	MPK2			protein kinase	30171842	12913131		
	ncbi	mitogen-activated protein kinase 3	MPK3			protein kinase	30171844	12913131		
	ncbi	MLO1	MLO1				62208138	16235112		
n	tgrc	Modifier inducer	Moi		Moi					
n	tgrc	modifier of B	mob		mo-B					
n	tgrc	Modifier of I	modi		Mo(I)					
n	tgrc	Modifier-2 of I	modi2		Mo(I)-2					
	ncbi	monodehydroascorbate reductase	MDHAR				72011374			
	tgrc	monstrosa	mon		mon					
	tgrc	morata	mor	mor1	mor					
	tgrc	mortalis	mts	mts1	mts					
	tgrc	mottled	m		m					
	tgrc	mottled-2	m2	m-2,m2,mo,md	m-2					
n	tgrc	Mottled-3	M3		M-3					
	tgrc	multicolor	mcr		mcr					
	ncbi	multicystatin	TMC				6671195|3452386			
n	tgrc	multiflora	mult		mult					
	tgrc	multifolia	muf		muf					
n	tgrc	multiformis	mf		mf					
	tgrc	multifurcata	mua	mua1	mua					
n	tgrc	multinata	mun		mun					
	tgrc	multinervis	mu		mu					
	tgrc	multiplex	mux	mux1	mux					
	tgrc	multiplicata	mup	mup1	mup					
n	tgrc	multivalens	muv		muv					
	tgrc	multivalens-2	muv2	muv-2,mus1	muv-2					
	tgrc	mutabilia	mut	mut1	mut					
	tgrc	mutata	mta	mta1	mta					
	ncbi	MYB transcription factor	MYB	THM18		MYB transcription factor	22900938|22900936|1370139	8639738		
	ncbi	mycorrhiza-inducible inorganic phosphate transporter	PT5	PT4			62529832|62529834	15807785		
	ncbi	myo-inositol monophosphatase 1	IMP1				1098976	8718627		
	ncbi	myo-inositol monophosphatase 2	IMP2				1098974	8718627		
	ncbi	myo-inositol-1-phosphate synthase	Inps				10185841|47105174			
	ncbi	N-hydroxycinnamoyl-CoA:tyramine N-hydroxycinnamoyl transferase	THT1.3	THT7-1,THT1-4			19908258|19908256|19908262	12900412		
	ncbi	N-hydroxycinnamoyl-CoA:tyramine N-hydroxycinnamoyl transferase THT7-8	THT7.8				19908260	12900412		
	ncbi	Na+/H+ antiporter 1	NHX1				15982203			
	ncbi	Na+/H+ antiporter 2	NHX2				15982205			
	ncbi	NAC domain protein	NACNOR	NAC-NOR			52353035			
	ncbi	NADP-malic enzyme	ME1				440844|2150026			
	ncbi	NADPH oxidase	RBOH1				4585141			
	tgrc	nana	na		na					
n	tgrc	nana-2	na2		na-2					
	tgrc	narrow cotyledons	nc		nc					
n	tgrc	necrodeformis	ned		ned					
	tgrc	necrotic	ne		ne					
	tgrc	necrotic dwarf	ndw		ndw					
	tgrc	neglecta	neg		neg					
n	tgrc	neglecta-2	neg2		neg-2					
n	tgrc	neglecta-3	neg3		neg-3					
	tgrc	netted	nd	m-4	nd					
	tgrc	netted virescent	nv		nv					
	tgrc	Never ripe	nr	Nr,tETR	Nr	ethylene receptor	1122444|984156|47105156	8525371		
	tgrc	Never ripe-2	nr2	Nr-2	Nr-2					
	ncbi	nii1 nitrite reductase	nii1			nitrite reductase	77627621			
	ncbi	NIM1-like protein 1	NML1				49182275			
	ncbi	NIM1-like protein 2	NML2				49182277			
n	tgrc	nipple tip-2	n2		n-2					
n	tgrc	nipple tip-3	n3		n-3					
n	tgrc	nipple tip-4	n4		n-4					
	tgrc	nipple-tip	n	nt	n					
n	tgrc	nitens	nt		nt					
n	tgrc	nitida	ni		ni					
n	tgrc	nitida-2	ni2		ni-2					
n	tgrc	nitidula	nit		nit					
	tgrc	Nitrate reductase-1	nir1	Nir-1	Nir-1	nitrite reductase				
	ncbi	nitrate transporter 1	NRT2c1	NRT2;1			600260			
	ncbi	nitrate transporter 2	NRT2c2	NRT2;2			6002602			
	ncbi	nitrite reductase 2	nii2			nitrite reductase	77627623|47106002			
n	tgrc	no flowers	nf		nf					
	ncbi	non-inducible immunity 1	NIM1				49182273			
	tgrc	non-ripening	nor		nor					
	ncbi	non-specific lipid transfer protein	ltpg1				71360927			
	ncbi	non-symbiotic hemoglobin class 1	Glb1				12963874			
	ncbi	non-symbiotic hemoglobin class 2	Glb2.1		GenBank: Glb2		15809397			
	tgrc	notabilis	not		not					
	ncbi	nuclear matrix protein 1	NMP1				15077143			
	ncbi	obamovirus multiplication 1	TH3			tobamovirus multiplication	74038612|47105353			
	tgrc	oblate fruit	obl		obl					
	tgrc	obscura	ob		ob					
n	tgrc	obscura-2	ob2		ob-2					
n	tgrc	obscuravenosa	obv		obv					
n	tgrc	obtusa	ot		ot					
	tgrc	ochroleuca	oc		oc					
	tgrc	Odorless	od	Od	Od					
n	tgrc	Oidium lycopersicum resistance-3	Ol3		Ol-3					
n	tgrc	Oidium lycopersicum-1	Ol1		Ol-1					
	ncbi	oligopeptide transporter 1	OPT1				4102838			
	tgrc	oligosperma	os	os1	os					
	tgrc	olivacea	oli		oli					
	ncbi	omega-3 fatty acid desaturase	FAD			omega-3 fatty acid desaturase	32479365|63204684	12837953		
	tgrc	opaca	op		op					
n	tgrc	opaca-2	op2		op-2					
	tgrc	opacata	opa	opa1	opa					
	tgrc	ordinata	or		or					
	ncbi	ornithine aminotransferase	OAT			ornithine aminotransferase	58802472			
	ncbi	ornithine decarboxylase	ODC			ornithine decarboxylase	10937975|3668353	9733552		
	tgrc	Orobanche aegyptica resistance	ora	Ora	ora					
	tgrc	Oval	ol	O.,ol	O.					
n	tgrc	ovata	ova		ova					
	tgrc	ovate	o		o	fruit shape regulatory gene	23429648	12242331		
	tgrc	oviformis	ovi	ovi1	ovi					
	ncbi	oxoglutarate/malate translocator	ACI36			oxoglutarate/malate translocator (ACI36)	47104423|68449757			
	ncbi	p27KIP1-related-protein 2	krp2				31980328			
	tgrc	pale dwarf	pdw		pdw					
n	tgrc	pale green	pg		pg					
n	tgrc	pale green-2	pg2		pg-2					
n	tgrc	pale green-3	pg3		pg-3					
	tgrc	pallescens	pas	pas1	pas					
n	tgrc	pallescens-2	pas2		pas-2					
	tgrc	pallida	pal		pal					
n	tgrc	parca	par		par					
	tgrc	parthenocarpic fruit	pat		pat					
	tgrc	parthenocarpic fruit-2	pat2	pat-2,pat2	pat-2					
	ncbi	partialaminoacylase-1	ctd3				6491762|47105489			
	ncbi	partialcopper-containing amine oxidase	cuAO				59668405			
	ncbi	partialDnaJ like protein	t19.8	t19-8			11863722|47105888			
	ncbi	partialpolyphenol oxidase A	ppo				46275223			
	tgrc	partiaria	pta		pta					
n	tgrc	parva	pa		pa					
	tgrc	parva-2	pa2	pa-2,pa1,pa2	pa-2					
n	tgrc	parviflora	pf		pf					
n	tgrc	parvistata	pvs		pvs					
	ncbi	pathogen-induced protein	pi1				20269124			
	ncbi	pathogenesis-related protein P2	PRP2	PR-P2			19975|47104770	1804403		
n	tgrc	pauciflora	paf		paf					
n	tgrc	paucipinnata	ppi		ppi					
n	tgrc	paucisurcata	psu		psu					
	tgrc	pauper	pau		pau					
	tgrc	paupercula	pap		pap					
	tgrc	peach	p		p					
	ncbi	pectin methylesterase 1	PME1.9	PME1.9		pectin esterase	398715|1256266|47104779	8018878		
	ncbi	pectin methylesterase 2	PME2.1	PME2.1		pectin esterase	19288|490041|398717|1256262	3371355|8018878		
	tgrc	pendens	pen		pen					
	tgrc	penetrabile	pet	pet-2,pet2	pet-2					
	tgrc	perlucida	pl	pl1	pl					
	ncbi	peroxidase (TPX1)	px1		GenBank: TPX1	peroxidase	678546|47104415	8029340		
	tgrc	Peroxidase-1	prx1	Prx-1	Prx-1	peroxidase				=px1?
	tgrc	Peroxidase-2	prx2	Prx-2	Prx-2	peroxidase				
	tgrc	Peroxidase-3	prx3	Prx-3	Prx-3	peroxidase				
n	tgrc	Peroxidase-3a	Prx3a		Prx-3a	peroxidase				
	tgrc	Peroxidase-4	prx4	Prx-4	Prx-4	peroxidase				
n	tgrc	Peroxidase-6	Prx6		Prx-6	peroxidase				
	tgrc	Peroxidase-7	prx7	Prx-7	Prx-7	peroxidase				
n	tgrc	Peroxidase-7a	Prx7a		Prx-7a	peroxidase				
	ncbi	peroxisomal acyl-CoA oxidase 1A	Acx1A			peroxidase	58531947	15722469		
	ncbi	peroxisomal acyl-CoA oxidase 1B	Acx1B				58531949	15722469		
	tgrc	persistent style	pst		pst					
	tgrc	perspicua	psa		psa					
	tgrc	perviridis	per		per					
	tgrc	petite	pt		pt					
	tgrc	Petroselinum leaf	pts	Pts	Pts					
	ncbi	phosphatase (psi14C gene)	psi14C				26986115|11837861	11161030|12702022		
	ncbi	phosphate starvation inducible gene TPSI1	TPSI1				1009717			
	ncbi	phosphate transporter 1	PT1				2570522|2266671|3687390	9449838|9737001		
	ncbi	phosphoenolpyruvate carboxylase 1	ppc1				6688530			
	ncbi	phosphoenolpyruvate carboxylase 2	ppc2			phosphoenolpyruvate carboxylase	399636|6688532	8012051		
	ncbi	phosphoenolpyruvate carboxylase kinase 2	PPCK2			phosphoenolpyruvate carboxylase kinase	28207686	10571893		
	tgrc	Phosphoglucoisomerase-1	pgi1	Pgi-1	Pgi-1	Phosphoglucoisomerase				
	tgrc	Phosphoglucomutase-1	pgm1	Pgm-1	Pgm-1	Phosphoglucomutase				
	tgrc	Phosphoglucomutase-2	pgm2	Pgm-2	Pgm-2	Phosphoglucomutase				
	ncbi	phospholipase D	TPLD	PLDa3		phospholipase	12060549|13111658	11319019|11446372		
	ncbi	phospholipase PLDa1	PLDa1			phospholipase	6573118|13111654|5758307	11446372		
	ncbi	phospholipase PLDa2	PLDa2			phospholipase	13111656	11446372		
	ncbi	phospholipase PLDb1	PLDb1			phospholipase	13111660	11446372		
	ncbi	phospholipase PLDb2	PLDb2			phospholipase	13111662	11446372		
	tgrc	phosphorus deficiency syndrome	pds	Ph-oid	pds					
	ncbi	phosphosulfolactate synthase	PSR				54639894|47105528			
n	tgrc	Photoperiodic chlorosis	Pch		Pch					
	ncbi	photosystem II oxygen-evolving complex protein 3	PsbQ				51457943			
	ncbi	phytochrome A, type 1	phyA1				3492796	9681030		
	ncbi	phytochrome A, type 2	phyA2				3492800|3492798	9681030|2011578		
	ncbi	phytochrome B1	PHYB1				4038601|4038603|4038605|4038607|4038609	9869419		
	ncbi	phytoene desaturase	pds1	pds	GenBank: pds	phytoene desaturase	19286|249664|387886	1594600|8485401		
	ncbi	phytoene synthase	PSY2			phytoene synthase	437019	8245008		
n	tgrc	Phytophthora infestans field resistance	Phf		Phf					
n	tgrc	Phytophthora infestans field resistance2	Phf2		Phf-2					
	tgrc	Phytophthora infestans resistance	ph	Ph,PiT,TR1	ph					
n	tgrc	Phytophthora infestans resistance 2	Ph2		Ph-2					
n	tgrc	Phytophthora infestans resistance 3	Ph3		Ph-3					
	tgrc	picta	pic		pic					
n	tgrc	picta-2	pic2		pic-2					
n	tgrc	picta-3	pic3		pic-3					
n	tgrc	picta-4	pic4		pic-4					
n	tgrc	pigment diluter	pd		pd					
	ncbi	PII-like protein	PIIGLB1		GenBank: GLB1	similar to nitrogen regulatory protein PII	38231569			
n	tgrc	pinnosa	pin		pin					
	tgrc	pistillate	pi		pi					
	tgrc	pistillate-2	pi2	pi-2	pi-2					
	tgrc	plana	pla		pla					
n	tgrc	plana-2	pla2		pla-2					
	ncbi	plant resistance protein (Mi-1.1)	mi1.1	Mi-1.1		leucine zipper, nucleotide binding, leucine-rich repeat	3449377	9707531|9707547		
	ncbi	plasmalemma Na+/H+ antiporter	sos1				66765936			
	ncbi	plastid terminal oxidase	PTOX			terminal oxidase	9937100|10505365	10938359		ghost
	ncbi	plastidic hexokinase	HXK4			hexokinase	67003901			
	tgrc	plicata	pli		pli					
n	tgrc	plicata-2	pli2		pli-2					
	ncbi	pollen-specific kinase partner protein	GMP				57340415			
	tgrc	polychrome variegated	pcv		pcv					
	tgrc	polycot	pct		pct					
	ncbi	polygalacturonase	PG2a	PG-2a	GenBank: PG	polygalacturonase	170470|34481842|19291|19297|490039|687982|1683407|687983	1859845|3786135|7803691		
	ncbi	polygalacturonase (XOPG1)	XOPG1				7381226	10517833		
	tgrc	polylopha	pol		pol					
n	tgrc	polyopha-2	pol2		pol-2					
	tgrc	polyphylla	pp	pp1	pp					
	tgrc	positional sterile	ps	va	ps					
	tgrc	positional sterile-2	ps2	ps-2	ps-2					
	tgrc	potato leaf	c		c					
	tgrc	potato virus Y resistance	rt		rt					
	tgrc	Poxed fruit	pox	Pox	Pox					
	ncbi	PR-5x	PR5	PR-5			20750096	12376655		
n	tgrc	praeclusa	pra		pra					
n	tgrc	praeclusa-2	pra2		pra-2					
	tgrc	praecox	px	px1	px					
	tgrc	praematura	pm	pm1	pm					
n	tgrc	praematura-2	pm2		pm-2					
n	tgrc	praemortua	pma		pma					
n	tgrc	precocious centromere division	pc		pc					
	tgrc	pressa	pre		pre					
	tgrc	procera	pro		pro					
n	tgrc	proclinata-2	pca2		pca-2					
	tgrc	procumbens	prc		prc					
n	tgrc	procumbens-2	prc2		prc-2					
n	tgrc	procumbens-3	prc3		prc-3					
	ncbi	profilin	profilin1	pro1			16555786|1399495	12915767		
	ncbi	proliferating cell nuclear antigen	pcna				25005274			
	ncbi	proline dehydrogenase	PDH			proline dehydrogenase	58802476|47104150			
	ncbi	proline transporter 1 	ProT1			proline transporter	4584847	10072398		
	ncbi	proline transporter 2	ProT2			proline transporter	4584849	10072398		
	ncbi	proline transporter 3	ProT3			proline transporter	4584851	10072398		
	ncbi	proline-rich protein	TPRPF1	TPRP-F1			19520|47104467	1868217		
	tgrc	propeller	pr		pr					
	tgrc	protea	prt	prt1	prt					
	ncbi	protein kinase WEE1	wee1				55859437	15821985		
	ncbi	protein phosphatase 2A catalytic subunit 1	PP2Ac1				34398260|47105582	15125764		
	ncbi	protein phosphatase 2A catalytic subunit 2	PP2Ac2				34398262	15125764		
	ncbi	protein tyrosine phosphatase	ptpkis1			protein tyrosine phosphatase	14970761	12148529		
	tgrc	protuberant	ptb		ptb					
	tgrc	prunoidea	prun		prun					
n	tgrc	prunoidea-2	prun2		prun-2					
	ncbi	psbXphotosystem II 23 kDa protein	psbX				19316	1581578		
n	tgrc	pseudo-triplo-4	pt4		pt-4					
n	tgrc	pseudoanthocyanin incomplete	pai		pai					
n	tgrc	Pseudomonas resistance	Prf		Prf					
	tgrc	Pseudomonas syringae pv tomato resis.	pto	Pto,Pto-2	Pto		430991	7902614		
	ncbi	Pto kinase interactor 1	Pti1				3668068	8521516		
	ncbi	Pto-responsive gene 1	Prg1				8099337			
	tgrc	pudica	pdc		pdc					
	tgrc	pulvinata	pu	pul	pu					
n	tgrc	pulviniformis	pv		pv					
	tgrc	pumila	pum		pum					
	tgrc	punctata	pun	pun1	pun					
n	tgrc	punctata-2	pun2		pun-2					
	tgrc	Punctate	pn	Pn	pn					
n	tgrc	punctulata	ptu		ptu					
	tgrc	purilla	pur		pur					
	tgrc	purpurea	ppa		ppa					
n	tgrc	pustulata	pus		pus					
	ncbi	putative dehydrogenase	PYD1A				24850452|47105779			
	ncbi	putative high-affinity nitrate transporter	NRT2c3	NRT2;3		nitrate transporter	14860985	12010476		
	ncbi	putative myo-inositol-1-phosphatase	INS1P	INS-1P		myo-inositol-1-phosphatase	10946508|47104920			
	ncbi	putative phosphatidylinositol monophosphate kinase	pipk1			phosphatidylinositol monophosphate kinase	20269116			
	ncbi	putative spermine synthase	spe4			spermine synthase	40788038			
	tgrc	pyramidalis	py		py					
	tgrc	Pyrenochaeta lycopersici resistance	pyl	py,py-1	pyl					
	ncbi	RAD23 homolog	rad23				5640110|6688551|47105703			
n	tgrc	radial crack resistance	cr		cr					
	tgrc	radial cracking resistance	rl	ra	rl					
n	tgrc	ramosissima	ram		ram					
	ncbi	Ran binding protein-1	RanBP1				14091664|47105548			
n	tgrc	ranificans	ran		ran					
	tgrc	rava	ra		ra					
n	tgrc	rava-2	ra2		ra-2					
	ncbi	receptor-like protein kinase 4	PRK4				13924729	12139002		
	ncbi	receptor-like protein kinase 3	PRK3				13506809|47104364	12139002		
	tgrc	red vascular tissue	rvt		rvt					
	tgrc	reduced	rd		rd					
n	tgrc	refrenata	ref		ref					
	tgrc	Regeneration-1	rg1	Rg-1	Rg-1					
n	tgrc	Regeneration-2	Rg2		Rg-2					
	tgrc	relaxata	rela		rela					
	ncbi	remorin 1	rem1	rem-1			4731572|47104678			
	ncbi	remorin 2	rem2	rem-2			4883529			
	tgrc	repens	rep		rep					
	tgrc	repens-2	rep2	rep-2	rep-2					
n	tgrc	repens-3	rep3		rep-3					
n	tgrc	repetita	rpa		rpa					
n	tgrc	repleta	rea		rea					
	tgrc	reptans	re		re					
n	tgrc	Resistant to skin cracking	Rsc		Rsc					
	tgrc	restricta	res	res1	res					
	tgrc	retarded dwarf	rtd		rtd					
n	tgrc	reticulate virescent	rv		rv					
	tgrc	reticulate virescent-2	rv2	rv-2	rv2					
n	tgrc	reticulate virescent-4	rv4		rv-4					
	ncbi	ribosomal protein L17	l17				6491769	11430427		
	ncbi	ribosomal protein L2	rpl2				19342	8467223		
	ncbi	ribosomal protein L3	RPL3				38327503			
	tgrc	ridged	ri	rl	ri					
	tgrc	rigida	rig		rig					
	tgrc	rigida-2	rig2	rig-2	rig-2					
	tgrc	rigidula	ria	ria1	ria					
	tgrc	ripening inhibitor	rin		rin	MADS-box transcription factor	73762196|73762194|20219015	11951045		
	ncbi	ripening regulated protein (DDTFR6/A)	DDTFR6A	DDTFR6/A			12231303|47105796			
	ncbi	ripening regulated protein DDTFR18	DDTFR18				47105337|12231295			
	ncbi	ripening-related mRNA 13	ERT13	ERT 13			47105675|414673	8219049		
	ncbi	ripening-related mRNA 1b	ERT1b	ERT 1b			47105700|414677	8219049		
	ncbi	RNA polymerase II subunit 2	rpb2				1049067	8616257		
	ncbi	RNA-directed RNA polymerase	RdRP				4038591	9836747		
n	tgrc	rolled cotyledons	rc		rc					
	tgrc	Root suppressed	rs	Rs	Rs					
	ncbi	root-knot nematode resistance	mi1.2	Mi-1.2		leucine zipper, nucleotide binding, leucine-rich repeat	3449379	9707531|9707547		
	tgrc	rosette	ro		ro					
	tgrc	rotundata	roa	roa1	roa					
n	tgrc	rotundata-2	roa2		roa-2					
	tgrc	rotundifolia	rot		rot					
n	tgrc	rotundifolia-2	rot2		rot-2					
	ncbi	RSI-1	RSI1	RSI-1,ctd2			405584|6491761	8177211|11430427		
	ncbi	RUB1 conjugating enzyme	RCE1				10946510|47104410			
	tgrc	ruptilis	ru		ru					
	tgrc	rustica	rust		rust					
n	tgrc	rustica-2	rust2		rust-2					
	ncbi	S-adenosyl-l-homocysteine hydrolase	SAHH				5758305			
	ncbi	S-protein homologue	sph1				13016737			
n	tgrc	scopulina	sco		sco					
	tgrc	scurfy	scf		scf					
	tgrc	seasonal chlorotic lethal	scl		scl					
n	tgrc	Self-incompatibility	sin		S.					
	tgrc	self-pruning	sp		sp		3319211	9570763		
	tgrc	semiglobosa	sem		sem					
n	tgrc	semiglobosa-2	sem2		sem-2					
	tgrc	semisterilis	ses	ses1	ses					
n	tgrc	Sepal extender	Sx		Sx					
	ncbi	SEPALLATA1-like MADS-box	SEP1	TAGL2,TM29		MADS-box	32478028|17432173|24967142	12376628|13677468|14573491		
	ncbi	SEPALLATA3	SEP3	TDR5		MADS-box	32478030|19383|31747209|19357	1688249|14573491		
	tgrc	Septoria lycopersici resistance	se	Se	se					
	ncbi	serine protease SBT3	sbt3			serine protease 	368730	10350089		
	ncbi	serine protease SBT4A	sbt4a			serine protease 	3687302	10350089		
n	tgrc	serpentina	ser		ser					
n	tgrc	serpentina-2	ser2		ser-2					
	tgrc	serrate lax leaf	slx		slx					
	ncbi	sesquiterpene synthase 1	SSTLE1			sesquiterpene synthase	2967686|11934930|11934932|2967688	9482865|11090225		
	tgrc	sherry	sh		sh					
	tgrc	Shikimic acid dehydrogenase-1	skdh1	Skdh-1	Skdh-1					
	tgrc	short anthers	sha		sha					
	ncbi	sialyltransferase-like	stv3				70663495			
	tgrc	signal transduction-1	sig1	sig-1,JL1	sig-1					
	tgrc	signal transduction-2	sig2	sig-2,JL5	sig-2					
	tgrc	singed	sn		sn					
	tgrc	single flower truss	sft		sft					
	tgrc	sinuata	si		si					
	tgrc	sitiens	sit		sit					
	tgrc	slender stem	sr	sm	sr					
	ncbi	SLU58473  receptor-like protein kinase 2	PRK2				3015485	9501107		
	ncbi	SLU58474  receptor-like protein kinase 1	PRK1				3015487	9501107		
	ncbi	SLY011914 Solanum lycopersicum THY5	thy5				6018698			
	ncbi	small GTP-binding protein C	Rab1C				1053066			
	ncbi	small GTP-binding protein A	Rab1A				1053062			
	ncbi	small GTP-binding protein B	Rab1B				1053064			
	ncbi	small heat shock protein 1	vis1				22530879	12586896		
n	tgrc	small seed	sms		sms					
	ncbi	SNF1	SNF1				7672781	12857836		
	ncbi	SNF1 kinase complex anchoring protein	GAL83				29725557	12857836		
	ncbi	SNF4	SNF4				7672779	12857836		
n	tgrc	Snout	snt		snt					
	tgrc	solanifolia	sf	wl,wr	sf					
	ncbi	Solanum lycopersicum feebly	feebly	alpha-DOX2		alpha-dioxygenase	38201498|47104935|54400095|1019931	8676869		
	ncbi	Solanum lycopersicum heat shock protein	TFHS1				170506|47104742|1172166			
	ncbi	pectin methylesterase pmeu1	PMEU1			pectin methylesterase	47106014|1222551			
	tgrc	soluta	so		so					
	ncbi	sorbitol related enzyme	SDH			sorbitol related enzyme	47105798|78183415			
	tgrc	sparsa	spa		spa					
	ncbi	spermidine synthase	spdsyn			spermidine synthase	4138108			
	ncbi	spermine synthase	SPM1			spermine synthase	33150480			
	tgrc	sphacelata	sa	sa1	sa					
	tgrc	sphaerica	sph		sph					
	ncbi	SPINDLY	spy				19913116			
	tgrc	splendens	spl	spl1	spl					
n	tgrc	splendens-2	spl2		spl-2					
n	tgrc	splendens-3	spl3		spl-3					
n	tgrc	splendens-4	spl4		spl-4					
	tgrc	splendida	spe	spe1	spe					
	tgrc	spongy seed	ss		ss					
n	tgrc	Spotted wilt resistance	Sw		Sw					
n	tgrc	spotted wilt resistance-2	sw2		sw-2					
n	tgrc	spotted wilt resistance-3	sw3		sw-3					
n	tgrc	spotted wilt resistance-4	sw4		sw-4					
