contig	gi	accession	locus	locus name	locus symbol	activity	alias	description	keywords	organism	pubmed_ids	chromosome	mol_type	marker	allele	comments
	514953	L34827	POTHMG16A				POTHMG16A	Potato (clone HMG1.6) HMG-CoA reductase (hmg1) gene, 5' end.	HMG-CoA reductase	potato	7787174|		genomic DNA|			
	514949	L34825	POTHMG14A				POTHMG14A	Potato (clone HMG1.4) HMG-CoA reductase (hmg1) gene, 5' end.	HMG-CoA reductase	potato	7787174|		genomic DNA|			
	514948	L34824	POTHMG13A				POTHMG13A	Potato (clone HMG1.3) HMG-CoA reductase (hmg1) gene.	HMG-CoA reductase	potato	7787174|		genomic DNA|			
	169484	L01400	POTHMGRI				hmgr|hmgr|	Potato hydroxymethylglutaryl coenzyme A reductase (hmgr) mRNA, complete cds.	3-hydroxy-3-methylglutaryl coenzyme A reductase; hydroxymethylglutaryl-CoA reductase	potato	1283354|		mRNA|			
Contig299	2734884	U75693	STU75693	sre1	sre1		sre1a|sre1a|	Solanum tuberosum SRE1a (sre1a) mRNA, complete cds.		potato		12	mRNA|			
	2734886	U75694	STU75694				sre1b|sre1b|	Solanum tuberosum SRE1b (sre1b) mRNA, complete cds.		potato		12	mRNA|			
	2734888	U75695	STU75695				sre1c|sre1c|	Solanum tuberosum SRE1c (sre1c) mRNA, complete cds.		potato		12	mRNA|			
Contig300	2225886	AB004827	AB004827	eukaryotic initiation factor 5A1	eif5a1		eIF5A1|eIF5A1|	Solanum tuberosum mRNA for eukaryotic initiation factor 5A1, complete cds.	eukaryotic initiation factor 5A1	potato			mRNA|			
	2225878	AB004823	AB004823				eIF5A2|eIF5A2|	Solanum tuberosum mRNA for eukaryotic initiation factor 5A2, complete cds.	eukaryotic initiation factor 5A2	potato			mRNA|			
Contig301	1236159	U49969	STU49969	class 2 chitinase	chta2		ChtA2|ChtA2|	Solanum tuberosum class II chitinase (ChtA2) mRNA, complete cds.		potato	9426596|		mRNA|			
	2565306	AF024537	AF024537				ChtA3|ChtA3|	Solanum tuberosum class II chitinase (ChtA3) mRNA, partial cds.		potato			mRNA|			
	2565308	AF024538	AF024538				ChtA4|ChtA4|	Solanum tuberosum class II chitinase (ChtA4) mRNA, partial cds.		potato			mRNA|			
Contig302	1292925	U47740	STU47740	chalcone synthase 1	cs1		cs1a	Solanum tuberosum chalcone synthase 1b mRNA, complete cds.		potato			mRNA|			
	1292923	U47739	STU47739				cs1b	Solanum tuberosum chalcone synthase 1a mRNA, complete cds.		potato			mRNA|			
Contig303	81076342	DQ252516	DQ252516	transaldolase	pottal1	transaldolase		Solanum tuberosum clone 097H08 transaldolase-like mRNA, complete cds.	HTC	potato			mRNA|			
	2078349	U95923	STU95923				PotTal1|PotTal1|	Solanum tuberosum transaldolase (PotTal1) mRNA, complete cds.		potato	8980493|		mRNA|			
	77999310	DQ228353	DQ228353					Solanum tuberosum clone 150G10 transaldolase-like protein mRNA, complete cds.	HTC	potato			mRNA|			
Contig304	38639307	AY450632	AY450632	cold-stress inducible protein (C17)	ci7			Solanum tuberosum clone plbr5 cold-stress inducible protein C17 mRNA, partial cds.		potato			mRNA|			
	2055383	U69633	STU69633				CI7|CI7|CI7|CI7|CI7|	Solanum tuberosum cold-stress inducible protein (C17) gene, complete cds.		potato	7909163|9106513|	4	genomic DNA|			
Contig305	21165532	AB062143	AB062143	NADH nitrate reductase	nr2	nitrate reductase	StNR6|StNR6|	Solanum tuberosum StNR6 mRNA for nitrate reductase, complete cds.		potato			mRNA|			
	1946811	U95317	STU95317				StNR3|StNR3|	Solanum tuberosum NADH nitrate reductase (StNR3) mRNA, complete cds.		potato			mRNA|			
	1673612	U76701	STU76701				StNR2|StNR2|	Solanum tuberosum NADH nitrate reductase (StNR2) mRNA, complete cds.		potato	10948229|		mRNA|			
	21165530	AB062142	AB062142				StNR5|StNR5|	Solanum tuberosum StNR5 mRNA for nitrate reductase, partial cds.		potato			mRNA|			
Contig306	1245485	U51986	STU51986	hydroxymethylglutaryl coenzyme A reductase 3	hmgr3	hydroxymethylglutaryl coenzyme A reductase		Solanum tuberosum clone hmg3.3 HMG-CoA reductase mRNA, complete cds.		potato	9049274|		mRNA|			
	169487	L01402	POTHMGRIII				POTHMGRIII	Potato hydroxymethylglutaryl coenzyme A reductase (hmgr) mRNA.	3-hydroxy-3-methylglutaryl coenzyme A reductase; hydroxymethylglutaryl-CoA reductase	potato	1283354|		mRNA|			
Contig307	1245483	U51985	STU51985	hydroxymethylglutaryl coenzyme A reductase 2	hmgr2	hydroxymethylglutaryl coenzyme A reductase		Solanum tuberosum clone hmg2.2 HMG-CoA reductase mRNA, complete cds.		potato	9049274|		mRNA|			
	169486	L01401	POTHMGRII				POTHMGRII	Potato hydroxymethylglutaryl coenzyme A reductase (hmgr) mRNA.	3-hydroxy-3-methylglutaryl coenzyme A reductase; hydroxymethylglutaryl-CoA reductase	potato	1283354|		mRNA|			
Contig308	1498379	U60488	STU60488	x			Pot42|Pot42|	Solanum tuberosum actin (Pot42) gene, partial cds.		potato	8896372|		genomic DNA|			
	1498375	U60486	STU60486	x			Pot65|Pot65|	Solanum tuberosum actin (Pot65) gene, partial cds.		potato	8896372|		genomic DNA|			
Contig309	1498373	U60485	STU60485	x			Pot66|Pot66|	Solanum tuberosum actin (Pot66) gene, partial cds.		potato	8896372|		genomic DNA|			
	1498371	U60484	STU60484	x			Pot79|Pot79|	Solanum tuberosum actin (Pot79) gene, partial cds.		potato	8896372|		genomic DNA|			
Contig310	7688353	AJ242852	AJ242852	K+ channel	kst1		KST1|KST1|KST1|	Solanum tuberosum KST1 gene promoter region.	KST1 gene; promoter	potato			genomic DNA|			
	861146	X79779	X79779				KST1|KST1|	S.tuberosum KST1 mRNA.	K+ channel; KST1 gene	potato	7781596|		mRNA|			
Contig311	17016328	AF274515	AF274515	granule bound starch synthase 1	gbss1		GBSSI|GBSSI|GBSSI|	Solanum tuberosum granule bound starch synthase I (GBSSI) gene, GBSSI-pra4 allele, promoter region and partial cds.		potato			genomic DNA|		gbss1-pra4	
	17016324	AF274513	AF274513				GBSSI|GBSSI|GBSSI|	Solanum tuberosum granule bound starch synthase I (GBSSI) gene, GBSSI-pra3a allele, promoter region and partial cds.		potato			genomic DNA|		gbss1-pra3a	
	17016322	AF274512	AF274512				GBSSI|GBSSI|GBSSI|	Solanum tuberosum granule bound starch synthase I (GBSSI) gene, GBSSI-pra2a allele, promoter region and partial cds.		potato			genomic DNA|		gbss1-pra2a	
	17016326	AF274514	AF274514				GBSSI|GBSSI|GBSSI|	Solanum tuberosum granule bound starch synthase I (GBSSI) gene, GBSSI-pra3b allele, promoter region and partial cds.		potato			genomic DNA|		gbss1-pra3b	
	21615	X52417	X52417				waxy (Wx)|waxy (Wx)|waxy (Wx)|	S.tuberosum waxy gene for starch synthase (clone G28WxSt).	starch synthase; tissue specific expression; waxy gene; wx-beta-glucuronidase	potato			genomic DNA|			
Contig312	21595	X56321	X56321	U2 small nuclear RNA 2	u22		U2-22|U2-22|	S. tuberosum U2-22 gene for U2 snRNA.	U2 small nuclear RNA; U2-22 gene	potato	2014165|		genomic DNA|			
	169569	M72890	POTSNRNAD				POTSNRNAD	Solanum tuberosum U2 small nuclear RNA, complete CDS.	small nuclear RNA gene	potato	1836193|		genomic DNA|			
	169568	M72889	POTSNRNAC				POTSNRNAC	Solanum tuberosum U2 small nuclear RNA, complete CDS.	small nuclear RNA gene	potato	1836193|		genomic DNA|			
	169567	M72888	POTSNRNAB				POTSNRNAB	Solanum tuberosum U2 small nuclear RNA, complete CDS.	small nuclear RNA gene	potato	1836193|		genomic DNA|			
	21596	X56322	X56322				U2-4|U2-4|	S. tuberosum U2-4 gene for U2 snRNA.	U2 small nuclear RNA; U2-4 gene	potato	2014165|		genomic DNA|			
Contig313	21462	Z17298	Z17298	x				S.tuberosum DNA for U6 small nuclear RNA promoter region.	small nuclear RNA; U6 small nuclear RNA	potato	8358031|		genomic DNA|			
	21457	Z17293	Z17293	x				S.tuberosum DNA for U6 small nuclear RNA promoter region.	small nuclear RNA; U6 small nuclear RNA	potato	8358031|		genomic DNA|			
	21461	Z17297	Z17297	x				S.tuberosum DNA for U6 small nuclear RNA promoter region.	small nuclear RNA; U6 small nuclear RNA	potato	8358031|		genomic DNA|			
Contig314	21460	Z17296	Z17296	x				S.tuberosum DNA for U6 small nuclear RNA promoter region.	small nuclear RNA; U6 small nuclear RNA	potato	8358031|		genomic DNA|			
	21463	Z17299	Z17299	x				S.tuberosum DNA for U6 small nuclear RNA promoter region.	small nuclear RNA; U6 small nuclear RNA	potato	8358031|		genomic DNA|			
	21454	Z17290	Z17290	x				S.tuberosum DNA for U6 small nuclear RNA promoter region.	small nuclear RNA; U6 small nuclear RNA	potato	8358031|		genomic DNA|			
Contig315	21449	Z17285	Z17285	x				S.tuberosum DNA for U6 small nuclear RNA promoter region.	small nuclear RNA; U6 small nuclear RNA	potato	8358031|		genomic DNA|			
	21447	Z17283	Z17283	x				S.tuberosum gene for U6 small nuclear RNA.	small nuclear RNA; U6 small nuclear RNA	potato	8358031|		genomic DNA|			
	21448	Z17284	Z17284	x				S.tuberosum gene for U6 small nuclear RNA.	small nuclear RNA; U6 small nuclear RNA	potato	8358031|		genomic DNA|			
Contig316	3192862	AF067863	AF067863	endo-1,3-beta-D-glucanase	glub1		glucanase	Solanum tuberosum 1,3-beta-glucan glucanohydrolase gene, complete cds.		potato			genomic DNA|			
	403061	U01902	U01902				gluB3	Solanum tuberosum Datura endo-1,3-beta-D-glucanase (gluB3) mRNA, partial cds.		potato	8111037|		mRNA|			
	1197820	U01900	U01900				gluB1	Solanum tuberosum Datura endo-1,3-beta-D-glucanase (gluB1) mRNA, partial cds.		potato	8111037|		mRNA|			
	403059	U01901	U01901				glub2	Solanum tuberosum Datura endo-1,3-beta-D-glucanase (gluB2) mRNA, complete cds.		potato	8111037|		mRNA|			
Contig317	407939	U02495	STU02495	epoxide hydrolase	STU02495	epoxide hydrolase		Solanum tuberosum Lemhi Russet clone EH4.1 epoxide hydrolase mRNA, complete cds.		potato	7920715|		mRNA|			
	407945	U02498	STU02498					Solanum tuberosum Lemhi Russet clone EH9.2 epoxide hydrolase mRNA, partial cds.		potato	7920715|		mRNA|			
Contig318	693923	U21115	STU21115	chlorophyll a/b binding protein 	lhcb1	chlorophyll binding	Lhcb1-6|Lhcb1-6|	Solanum tuberosum chlorophyll a/b binding protein (Lhcb1-6) gene, nuclear gene encoding chloroplast protein, partial cds.		potato			genomic DNA|			
	693919	U21113	STU21113				Lhcb1-4|Lhcb1-4|	Solanum tuberosum chlorophyll a/b binding protein (Lhcb1-4) gene, nuclear gene encoding chloroplast protein, complete cds.		potato			genomic DNA|			
	693913	U20983	STU20983				Lhcb1-2|Lhcb1-2|	Solanum tuberosum chlorophyll a/b binding protein (Lhcb1-2) gene, nuclear gene encoding chloroplast protein, complete cds.		potato			genomic DNA|			
	81074612	DQ252493	DQ252493					Solanum tuberosum clone 062G02 chlorophyll a-b binding protein 3C-like mRNA, complete cds.	HTC	potato			mRNA|			
	693915	U21111	STU21111				Lhcb1-1|Lhcb1-1|	Solanum tuberosum chlorophyll a/b binding protein (Lhcb1-1) gene, nuclear gene encoding chloroplast protein, complete cds.		potato			genomic DNA|			
	14275857	AJ318069	AJ318069				ftrbpot|ftrbpot|	Solanum tuberosum mRNA for ferredoxin-thioredoxin-reductase catalytic subunit B (ftrbpot gene).	Ferredoxin-thioredoxin-reductase catalytic subunit B; ftrbpot gene	potato			mRNA|			
	693921	U21114	STU21114				Lhcb1-5|Lhcb1-5|	Solanum tuberosum chlorophyll a/b binding protein (Lhcb1-5) gene, nuclear gene encoding chloroplast protein, complete cds.		potato			genomic DNA|			
	693917	U21112	STU21112				Lhcb1-3|Lhcb1-3|	Solanum tuberosum chlorophyll a/b binding protein (Lhcb1-3 gene, nuclear gene encoding chloroplast protein, complete cds.		potato			genomic DNA|			
Contig319	33359652	AY341425	AY341425	beta fructosidase 	pain1	beta fructosidase 		Solanum tuberosum acid invertase mRNA, complete cds.		potato			mRNA|			
	94429043	DQ478950	DQ478950					Solanum tuberosum acid invertase mRNA, complete cds.		potato			mRNA|			
	22670	X70368	X70368				PAIN-1|PAIN-1|	S.tuberosum PAIN-1 mRNA for beta-fructofuranosidase.	acidic invertase; beta-fructofuranosidase	potato	8580777|		mRNA|			
	529515	L29099	POTBFRUASE				POTBFRUASE	Solanum tuberosum beta-fructosidase mRNA, complete cds.	beta-fructosidase; invertase; saccharase	potato	7972524|		mRNA|			
Contig320	21592	X56323	X56323	U2 small nuclear RNA; U2-11B gene	u211b		U2-11B|U2-11B|	S. tuberosum U2-11B gene for U2 snRNA.	U2 small nuclear RNA; U2-11B gene	potato	2014165|		genomic DNA|			
	169570	M72891	POTSNRNAE				POTSNRNAE	Solanum tuberosum U2 small nuclear RNA, complete CDS.	small nuclear RNA gene	potato	1836193|		genomic DNA|			
Contig321	21593	X55840	X55840	U2 small nuclear RNA 11	u2-11		U2-11|U2-11|	S. tuberosum U2-11 gene for U2 snRNA.	U2 small nuclear RNA; U2-11 gene	potato	2014165|		genomic DNA|			
	169566	M72887	POTSNRNAA				POTSNRNAA	Solanum tuberosum U2 small nuclear RNA, complete CDS.	small nuclear RNA gene	potato	1836193|		genomic DNA|			
Contig322	169501	M37222	POTPATAA	patatin A	POTPATAA	glycoprotein		Potato patatin gene, 5' end.	patatin	potato	2841572|		genomic DNA|			
	169494	M17629	POTPAT1				POTPAT1	Potato patatin gene, 5' end.	patatin	potato			genomic DNA|			
	169495	M17630	POTPAT2				POTPAT2	Potato patatin gene, 3' end.	patatin	potato			genomic DNA|			
Contig323	294280	L13771	POTGLGPB	alpha-glucan phosphorylase type H isozyme	glgpb	alpha-glucan phosphorylase	glgP	Potato (S.tuberosum) alpha-glucan phosphorylase type H (glgP) gene, complete cds.	alpha-glucan phosphorylase; tuber specific expression	potato			genomic DNA|			
	169472	M69038	POTAGPTHI				POTAGPTHI	Potato alpha-glucan phosphorylase type H isozyme mRNA, complete cds.	alpha-glucan phosphorylase type H isozyme	potato	1917968|		mRNA|			
Contig324	404586	M95197	POTPOLOXB	polyphenol oxidase 2	ppo2	polyphenol oxidase	POTPOLOXB	Potato polyphenol oxidase mRNA, 3' end.	polyphenol oxidase	potato	7678763|		mRNA|			
	404584	M95196	POTPOLOXA				POTPOLOXA	Potato polyphenol oxidase mRNA, 3' end.	polyphenol oxidase	potato	7678763|		mRNA|			
singlet	118490012	EF091877	EF091877	ACRE 132-like protein	EF091877			Solanum tuberosum ACRE 132-like protein mRNA, complete cds.		potato			mRNA|			
singlet	118490010	EF091876	EF091876	ras-related GTP binding protein	EF091876			Solanum tuberosum ras-related GTP binding protein mRNA, complete cds.		potato			mRNA|			
singlet	118490008	EF091875	EF091875	ethylene response factor 3	erf2		ERF3|ERF3|	Solanum tuberosum ethylene response factor 3 (ERF3) mRNA, complete cds.		potato			mRNA|			
singlet	118490006	EF091874	EF091874	NAC domain protein NAC2	nac2		NAC2|NAC2|	Solanum tuberosum NAC domain protein NAC2 (NAC2) mRNA, complete cds.		potato			mRNA|			
singlet	93139503	DQ423071	DQ423071	mitochondrial catalytic protein	DQ423071			Solanum tuberosum mitochondrial catalytic protein (At4g16580) gene, partial cds; nuclear gene for mitochondrial product.		potato	16951058|		genomic DNA|			
singlet	118406897	DQ499754	DQ499754	constans 1	DQ499754			Solanum tuberosum cultivar Early Rose CONSTANS mRNA, complete cds.		potato			mRNA|			
singlet	118197978	EF093186	EF093186	zinc finger protein	EF093186			Solanum tuberosum zinc finger protein mRNA, complete cds.		potato			mRNA|			
singlet	95113970	DQ423118	DQ423118	x				Solanum tuberosum cultivar TA3427.		potato	16951058|		genomic DNA|			
singlet	93141185	DQ423182	DQ423182	x				Solanum tuberosum cultivar TA3427.		potato	16951058|		genomic DNA|			
singlet	93141169	DQ423201	DQ423201	x				Solanum tuberosum cultivar TA3427.		potato	16951058|		genomic DNA|			
singlet	93141135	DQ423029	DQ423029	x				Solanum tuberosum cultivar TA3427.		potato	16951058|		genomic DNA|			
singlet	93102527	DQ423074	DQ423074	x				Solanum tuberosum cultivar TA3427.		potato	16951058|		genomic DNA|			
singlet	93004735	DQ423093	DQ423093	x				Solanum tuberosum cultivar TA3427.		potato	16951058|		genomic DNA|			
singlet	92429567	DQ423063	DQ423063	x				Solanum tuberosum cultivar TA3427.		potato	16951058|		genomic DNA|			
singlet	92429533	DQ423046	DQ423046	x				Solanum tuberosum cultivar TA3427.		potato	16951058|		genomic DNA|			
singlet	92429512	DQ423021	DQ423021	x				Solanum tuberosum cultivar TA3427.		potato	16951058|		genomic DNA|			
singlet	92429037	DQ422994	DQ422994	x				Solanum tuberosum cultivar TA3427.		potato	16951058|		genomic DNA|			
singlet	90308244	DQ423122	DQ423122	x				Solanum tuberosum cultivar TA3427.		potato	16951058|		genomic DNA|			
singlet	90308242	DQ423121	DQ423121	chloroplast chlorophyll a oxygenase	DQ423121			Solanum tuberosum cultivar TA3427 chloroplast chlorophyll a oxygenase (At1g44446) gene, partial cds; nuclear gene for chloroplast product.		potato	16951058|		genomic DNA|			
singlet	66393196	AY948721	AY948721	x				Solanum tuberosum clone NU-YXL-It genomic sequence.		potato			genomic DNA|			
singlet	27528485	AJ309218	AJ309218	VP1-ABI3	AJ309218			Solanum tuberosum gene for VP1-ABI3-like protein, exons 1-6.	VP1-ABI3-like protein	potato			genomic DNA|			
singlet	23095772	AJ320154	AJ320154	ds2	ds2		ds2	Solanum tuberosum partial ds2 gene and promoter region.	ds2 gene; DS2 protein	potato			genomic DNA|			
singlet	15130797	AJ242665	AJ242665	metallocarboxypeptidase inhibitor	mcpi	metallocarboxypeptidase inhibitor	mcpi	Solanum tuberosum mcpi gene for metallocarboxypeptidase inhibitor, exons 1-2.	mcpi gene; metallocarboxypeptidase inhibitor	potato	11488477|		genomic DNA|			
singlet	14625942	AJ312424	AJ312424	AJ312424 snakin 2	AJ312424		sn2	Solanum tuberosum sn2 gene for snakin2, exons 1-3.	sn2 gene; snakin2	potato			genomic DNA|			
singlet	14488125	Y13048	Y13048	outward rectifying potassium channel	kco1a		StKCO1a	Solanum tuberosum StKCO1a gene encoding putative outward rectifying potassium channel.	outward rectifying potassium channel StKCO1a; StKCO1a gene	potato	12148538|		genomic DNA|			
singlet	13785212	AJ309302	AJ309302	poni1b membrane protein	poni1b			Solanum tuberosum poni1b gene for putative membrane protein, exons 1-3 allele 2.	membrane protein; poni1b gene	potato			genomic DNA|		poni1b-2	
singlet	13785210	AJ309301	AJ309301	poni1a membrane protein	poni1a			Solanum tuberosum poni1a gene for putative membrane protein, exons 1-3 (allele 1).	membrane protein; poni1a gene	potato			genomic DNA|		ponia1-1	
singlet	13276862	AJ308597	AJ308597	kco1b K+ channel	kco1b			Solanum tuberosum kco1b gene for K+ channel protein.	K+ channel protein; kco1b gene	potato	12148538|		genomic DNA|			
singlet	7162114	AJ133765	AJ133765	invratse GE and GF	invg	invertase	invGE|invGF	Solanum tuberosum invGE and invGF genes.	invertase; invGE gene; invGF gene	potato	10737139|		genomic DNA|			
singlet	6851041	AJ243756	AJ243756	mitochondrial tRNA-Cys(GCA)	AJ243756		tRNA-Cys(GCA)	Solanum tuberosum mitochondrial tRNA-Cys(GCA) gene.	transfer RNA-Cys(GCA); tRNA-Cys(GCA) gene	potato			genomic DNA|			
singlet	6318245	AJ002586	AJ002586	x			UCP	Solanum tuberosum gene for mitochondrial uncoupling protein.		potato	9296489|		genomic DNA|			
singlet	3334859	X93576	X93576	mitochondrial trnN2 gene	trnn2		trnN2|trnN2|	Solanum tuberosum mitochondrial trnN2 gene.	transfer RNA-Asn; trnN2 gene	potato	9371887|		genomic DNA|			
singlet	2647957	AJ001728	AJ001728	mitochondrial gene for tRNA-Gly 	trna-gly		tRNA-Gly|tRNA-Gly|	Solanum tuberosum mitochondrial gene for tRNA-Gly (GCC).	mitochondrion; transfer RNA-Gly; tRNA-Gly (GCC)	potato			genomic DNA|			
singlet	1695191	X95820	X95820	invertase gene (1911bp)	X95820	beta-fructofuranosidase; invertase		S.tuberosum invertase gene (1911bp).	beta-fructofuranosidase; invertase	potato	8710506|		genomic DNA|			
singlet	1695189	X95821	X95821	invertase gene (2542bp)	X95821	beta-fructofuranosidase; invertase		S.tuberosum invertase gene (2542bp).	beta-fructofuranosidase; invertase	potato	8710506|		genomic DNA|			
singlet	1240065	X96771	X96771	ADP-glucose pyrophosphorylase small subunit 1	agpb1		AGPB1|AGPB1|AGPB1|	S.tuberosum AGPB1 gene.	ADP-glucose pyrophosphorylase small subunit; AGPB1 gene	potato	1654156|		genomic DNA|			
singlet	1216283	X96000	X96000	PKIN1 gene (668bp)	X96000	protein kinase	PKIN1|PKIN1|PKIN1|	S.tuberosum PKIN1 gene (668bp).	PKIN1 gene; SNF1-related protein kinase	potato	9177310|		genomic DNA|			
singlet	1216282	X95999	X95999	PKIN1 gene (802bp)	X95999	protein kinase	PKIN1|PKIN1|PKIN1|	S.tuberosum PKIN1 gene (802bp).	PKIN1 gene; SNF1-related protein kinase	potato	9177310|		genomic DNA|			
singlet	1216281	X95998	X95998	PKIN1 gene (1194bp)	X95998	protein kinase	PKIN1|PKIN1|PKIN1|PKIN1|PKIN1|	S.tuberosum PKIN1 gene (1194bp).	PKIN1 gene; SNF1-related protein kinase	potato	9177310|		genomic DNA|			
singlet	1216279	X95997	X95997	PKIN1 gene (353bp)	X95997	protein kinase	PKIN1|PKIN1|PKIN1|	S.tuberosum PKIN1 gene (353bp).	PKIN1 gene; SNF1-related protein kinase	potato	9177310|		genomic DNA|			
singlet	1216278	X96372	X96372	PKIN1 gene (258bp)	X96372	protein kinase	PKIN1|PKIN1|	S.tuberosum PKIN1 gene (258bp).	PKIN1 gene; SNF1-related protein kinase	potato	9177310|		genomic DNA|			
singlet	1200255	X90990	X90990	surcase	stpk1	kinase		S.tuberosum stpk1 gene, and putative sucrase gene.	kinase; stpk1 gene; sucrase	potato			genomic DNA|			
singlet	619562	X83597	X83597	dhn1	dhn1		dhn1	S.tuberosum dhn1 gene.	dhn1 gene	potato	8616256|		genomic DNA|			
singlet	587567	Z37106	Z37106	cat gene encoding catalase	cats	catalase	catsSt	S.tuberosum cat gene encoding catalase (partial).	catalase	potato	7655060|		genomic DNA|			
singlet	520957	Z27235	Z27235	1-Aminocyclopropane-1-carboxylate synthase 2	acs2	ACC synthase	ST ACS2	S.tuberosum (ST ACS2) gene for 1-Aminocyclopropane-1-carboxylate synthase.	1-aminocyclopropane-1-carboxylate synthase; ACC synthase	potato	7891663|		genomic DNA|			
singlet	520915	Z27234	Z27234	STACS2 gene for 1-Aminocyclopropane-1-carboxylate synthase	acs1b	ACC synthase	ST ACS1B|ST ACS1B|ST ACS1B|ST ACS1B|ST ACS1B|ST ACS1B|ST ACS1B|	S.tuberosum STACS2 gene for 1-Aminocyclopropane-1-carboxylate synthase.	1-aminocyclopropane-1-carboxylate synthase; ACC synthase	potato	7891663|		genomic DNA|			
singlet	520913	Z27233	Z27233	(STAC1) gene for amino cyclopropane carboxylate acid synthase	acs1a	ACC synthase	ST ACS1A|ST ACS1A|ST ACS1A|ST ACS1A|ST ACS1A|ST ACS1A|ST ACS1A|	S.tuberosum (STAC1) gene for amino cyclopropane carboxylate acid synthase.	ACC synthase; Amino cyclopropane carboxylate acid synthase	potato	7891663|		genomic DNA|			
singlet	467609	X78275	X78275	protease inhibitor 2 CM7	pin2cm7	protease inhibitor	pin2-CM7|pin2-CM7|pin2-CM7|pin2-CM7|pin2-CM7|pin2-CM7|pin2-CM7|	S.tuberosum (Arran Banner) pin2-CM7 gene.	pin2 gene; protease inhibitor II	potato	7846166|		genomic DNA|			
singlet	434999	Z28961	Z28961	transfer RNA-Ala	Z28961			S.tuberosum (217) trnA gene for transfer RNA-Ala.	transfer RNA-Ala; trnA gene	potato	7532029|		genomic DNA|			
singlet	414717	X75579	X75579	NADH dehydrogenase	nad7	NADH dehydrogenase	nad7	Solanum tuberosumn nad7 gene, partial.	nad7 gene; NADH dehydrogenase	potato	8041359|		genomic DNA|			
singlet	407064	X69671	X69671	transfer RNA-fMet	tRNA-fMet		tRNA-fMet|tRNA-fMet|	S.tuberosum mitochondrial tRNA-fMet gene for transfer RNA-fMet.	transfer RNA-fMet	potato	7691207|		genomic DNA|			
singlet	21617	X13497	X13497	wound-induced genes WIN1 and WIN2	win1		WIN1|WIN1|WIN1|WIN1|WIN1|WIN1|WIN2|WIN2|WIN2|WIN2|WIN2|WIN2|	Potato wound-induced genes WIN1 and WIN2.	WIN1 gene; WIN2 gene; wound-induced gene	potato			genomic DNA|			
singlet	21590	Z11883	Z11883	x			U1-1|U1-1|U1-2|U1-2|U1-3|U1-3|U1-4|U1-4|U1-5|U1-5|U1-6|U1-6|	S.tuberosum U1snRNA variant genes U1-1, U1-2, U1-3, U1-4, U1-5 and U1-6.	small nuclear RNA; snRNA U1-1 gene; snRNA U1-2 gene; snRNA U1-3; gene; snRNA U1-4 gene; snRNA U1-5 gene; snRNA U1-6 gene	potato			genomic DNA|			
singlet	21575	X62727	X62727	self-incompatibility; stylar ribonuclease	s2			S. tuberosum S2 (self-incompatibility) locus linked stylar RNase gene.	Rnase S2; self-incompatibility; stylar ribonuclease	potato	2038308|	1	genomic DNA|			
singlet	21570	X69763	X69763	ribulose-(1,5)-bisphosphate carboxylase/oxygenase small subunit	rbcs3	photosynthesis	rbcS3|rbcS3|rbcS3|rbcS3|rbcS3|rbcS3|rbcS3|rbcS3|rbcS3|	S.tuberosum rbcS3 gene for ribulose-(1,5)-bisphosphate carboxylase/oxygenase small subunit.	chloroplast; gene expression; gene family; photosynthesis; protein; transport; rbcS3	potato	8299958|	2	genomic DNA|			
singlet	21560	Z14027	Z14027	Z14027 proteinase inhibitor 1	Z14027	proteinase inhibitor		S.tuberosum gene for proteinase inhibitor I (partial).	proteinase inhibitor I	potato			genomic DNA|			
singlet	21555	Z13992	Z13992	Z13992 proteinase inhibitor 2	Z13992	proteinase inhibitor		S.tuberosum proteinase inhibitor II.	proteinase inhibitor II	potato			genomic DNA|			
singlet	21553	Z12753	Z12753	Z12753 proteinase inhibitor 2	Z12753	proteinase inhibitor		S.tuberosum gene for proteinase inhibitor II.	proteinase inhibitor; proteinase inhibitor II	potato			genomic DNA|			
singlet	21551	X17578	X17578	precursor protein of the oxygen-evolving complex	X17578			S.tuberosum mRNA for a 33kDa precursor protein of the oxygen-evolving complex.	lumenal protein; oxygen-evolving complex; photosystem II; precursor; protein; thylakoid protein	potato	1840688|		mRNA|			
singlet	21543	X55751	X55751	PoAc97 gene for actin	poac97	actin	PoAc97	S.tuberosum PoAc97 gene for actin.	actin; actin gene	potato	2120451|		genomic DNA|			
singlet	21539	X55753	X55753	PoAc75 gene for actin	poac75	actin	PoAc75	S.tuberosum PoAc75 gene for actin.	actin; actin gene	potato	2120451|		genomic DNA|			
singlet	21498	X63104	X63104	PAL-2 phenylalanine ammonia-lyase	pal2	phenylalanine ammonia-lyase	PAL-2|PAL-2|PAL-2|PAL-2|PAL-2|PAL-2|	S.tuberosum PAL-2 gene for phenylalanine ammonia-lyase.	PAL-2 gene; phenylalanine ammonia-lyase	potato	1541277|		genomic DNA|			
singlet	21496	X63103	X63103	PAL-1 phenylalanine ammonia-lyase	pal1	phenylalanine ammonia-lyase	PAL-1|PAL-1|PAL-1|PAL-1|PAL-1|PAL-1|	S.tuberosum PAL-1 gene for phenylalanine ammonia-lyase.	PAL-1 gene; phenylalanine ammonia-lyase	potato	1541277|		genomic DNA|			
singlet	21488	X04753	X04753	light-inducible tissue-specific ST-LS1	ls1			Potato light-inducible tissue-specific ST-LS1 gene.	ST-LS1 gene	potato			genomic DNA|			
